filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2_mean,h2o_mean,auxiliary_input_1_mean,auxiliary_input_2_mean,auxiliary_input_3_mean,auxiliary_input_4_mean,vin_sf_mean,co2_mean.1,h2o_mean.1,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean
2020-08-01T003000_AIU-2109.ghg,2020-08-01,01:00,214.0416,0,18000,18000,-0.641861E-01,2,-74.3863,2,26.5529,2,13.1404,2,0.602926,2,0.264611E-01,-0.107567E-01,-0.472172E-02,-0.244249E-03,0.355308E-09,0.187441E-10,14.8832,423.605,433.287,0.100000,1,785.158,22.3471,22.8579,0.100000,1,298.961,296.854,87172.0,1.01451,1017.87,0.285133E-01,0.390696E-01,0.141230E-01,1934.73,2919.95,0.139211E-01,66.2590,985.220,290.138,0.561498,-2.11187,-0.252294,2.19976,-0.388893E-13,0.238731E-13,2.19976,4.85295,72.7548,284.889,-6.58583,-9999,0.251532,0.830456,16.9580,0.589691E-02,-2.80143,0.286386,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.553861E-01,1.15888,-56.4733,1.31020,11.0577,2.40130,5.47219,2.40130,0.251083,2.40130,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,6,10,1,1,3,0,0,0,18000,0,0,0,0,0,0,93,1.35698,0.173338,0.130589,0.256701,5.53719,0.664462E-01,-0.546885E-01,0.159572,0.732171E-02,14.8853,785.262,0.755249E-03,0.683881E-02,-0.421816E-02,0.796795E-03,15.5350,423.606,22.3471,16.8425,92.0395,91.8779,92.2012,-0.323272,0.315998E-03,2.00000,15.2497
2020-08-01T010000_AIU-2109.ghg,2020-08-01,01:30,214.0624,0,18000,18000,-0.499300E-02,2,-2.38564,2,4.62187,2,-0.803494,2,0.104910,2,-0.209666E-01,0.487747E-01,0.398923E-02,0.110711E-02,-0.108251E-09,-0.580078E-11,14.9375,425.178,435.091,0.100000,1,800.447,22.7838,23.3150,0.100000,1,298.635,296.489,87145.4,1.01528,1018.11,0.284909E-01,0.679815E-02,0.144104E-01,1971.66,2856.30,0.141935E-01,69.0286,884.635,290.437,0.453941,-1.39412,-0.179019,1.47705,0.669787E-14,-0.724693E-14,1.47705,2.82763,68.6012,288.036,-6.96137,-9999,0.701274E-01,0.239219,11.4573,0.872805E-02,-0.516164,0.329107E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.432143E-02,1.15540,-1.68663,1.32247,2.04189,2.26352,-0.354975,2.26352,0.463480E-01,2.26352,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,9,4,0,17,4,0,0,0,18000,0,0,0,0,0,0,93,0.368902,0.806507E-01,0.288844E-01,0.971017E-01,3.76676,0.459547E-01,-0.163170E-02,-0.103477E-01,0.135106E-02,14.9396,800.556,0.755478E-03,0.684547E-02,-0.422765E-02,0.794905E-03,15.5383,425.180,22.7838,17.1443,91.9744,91.8001,92.1486,-0.348495,0.316653E-03,2.00000,15.2486
2020-08-01T013000_AIU-2109.ghg,2020-08-01,02:00,214.0833,0,18000,18000,-0.117953E-01,2,-16.1432,2,-22.8664,2,3.65765,2,-0.518890,2,-0.163808E-01,-0.872992E-02,0.126489E-02,-0.198102E-03,-0.946572E-11,-0.504904E-12,14.9682,425.677,435.567,0.100000,1,798.407,22.7057,23.2333,0.100000,1,298.340,296.204,87111.9,1.01590,1018.06,0.284737E-01,-0.336240E-01,0.143696E-01,1964.20,2807.54,0.141448E-01,69.9616,843.340,290.377,0.507998,-1.42805,-0.192445,1.52788,0.221155E-14,-0.632390E-15,1.52788,3.27518,70.6048,289.582,-7.23593,-9999,0.107753,0.190766,6.14039,0.162856E-01,0.705979,0.144856,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.101463E-01,1.16252,-12.8429,1.33140,-9.87072,2.31658,1.57890,2.31658,-0.223989,2.31658,800000099,800000099,800000099,800000099,800000099,800100199,899999999,899999999,89999,89999,89,89,8,0,0,0,1,3,0,0,18000,0,0,0,0,0,0,93,0.247354,0.835839E-01,0.505947E-01,0.264361,4.41378,0.982009E-01,-0.124176E-01,0.459942E-01,-0.652493E-02,14.9703,798.516,0.754164E-03,0.684857E-02,-0.422939E-02,0.796220E-03,15.5300,425.679,22.7057,17.0835,91.9243,91.7315,92.1172,-0.385761,0.315640E-03,2.00000,15.2500
2020-08-01T020000_AIU-2109.ghg,2020-08-01,02:30,214.1041,0,18000,18000,0.844107E-02,2,-2.66906,2,-0.946291,2,-0.597195,2,-0.214704E-01,2,-0.848636E-02,-0.520067E-01,0.145512E-02,-0.117998E-02,0.192630E-09,0.100510E-10,15.0001,426.250,435.946,0.100000,1,782.674,22.2408,22.7467,-0.100000,0,298.148,296.056,87107.7,1.01653,1017.79,0.284567E-01,-0.139128E-02,0.140838E-01,1924.17,2782.67,0.138548E-01,69.1483,858.500,290.052,0.478116,-1.84663,-0.275349,1.92729,0.147206E-13,0.128419E-13,1.92729,3.15362,75.5937,284.516,-8.21388,-9999,0.911252E-01,0.125275,22.4596,0.445243E-02,2.82054,0.283099E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.730598E-02,1.15536,-2.07505,1.31167,-0.403415,2.34570,-0.254591,2.34570,-0.915310E-02,2.34570,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,13,0,0,13,12,7,0,0,18000,0,0,0,0,0,0,93,0.149700,0.661598E-01,0.346902E-01,0.143413,2.43023,0.448837E-01,-0.200562E-02,-0.740849E-02,-0.266351E-03,15.0023,782.782,0.752218E-03,0.684266E-02,-0.422291E-02,0.794040E-03,15.5200,426.251,22.2408,16.7567,91.9701,91.7760,92.1642,-0.388178,0.316474E-03,2.00000,15.2489
2020-08-01T023000_AIU-2109.ghg,2020-08-01,03:00,214.1249,0,18000,18000,-0.294386E-01,2,-14.6547,2,3.00675,2,2.28834,2,0.682029E-01,2,-0.150205E-01,-0.209538E-01,-0.792436E-03,-0.475302E-03,0.176870E-09,0.915777E-11,14.9973,425.938,435.544,0.100000,1,776.513,22.0537,22.5510,0.100000,1,297.867,295.795,87098.4,1.01739,1017.68,0.284330E-01,0.441955E-02,0.139770E-01,1907.89,2739.02,0.137381E-01,69.6562,831.122,289.918,0.221957,-1.95033,-0.219355,1.97514,-0.132202E-13,0.117935E-13,1.97514,3.55258,84.4906,276.493,-6.37632,-9999,0.170104,0.275033,26.6049,0.375871E-02,-4.87394,0.832074E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.254844E-01,1.15516,-11.1814,1.31034,1.27873,2.35136,0.973199,2.35136,0.290057E-01,2.35136,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,2,2,0,0,0,0,0,0,18000,0,0,0,0,0,0,93,0.316762,0.176543,0.567597E-01,0.214298,2.79162,0.854690E-01,-0.107994E-01,0.282907E-01,0.843189E-03,14.9995,776.619,0.750545E-03,0.683032E-02,-0.421571E-02,0.794257E-03,15.5100,425.940,22.0536,16.6229,91.9706,91.7705,92.1707,-0.400217,0.315804E-03,2.00000,15.2483
2020-08-01T030000_AIU-2109.ghg,2020-08-01,03:30,214.1458,0,18000,18000,0.189258E-01,2,-13.2615,2,-8.07155,2,2.39521,2,-0.183078,2,-0.370124E-02,-0.294731E-01,-0.303783E-02,-0.668505E-03,-0.191577E-10,-0.982847E-12,14.9625,424.743,434.204,0.100000,1,767.620,21.7906,22.2760,-0.200000,0,297.778,295.730,87098.8,1.01772,1017.53,0.284243E-01,-0.118634E-01,0.138145E-01,1885.30,2728.40,0.135740E-01,69.0991,843.101,289.731,0.244772,-1.55476,-0.163766,1.58241,-0.348859E-13,-0.128038E-14,1.58241,3.17371,82.5487,278.947,-5.94030,-9999,0.136368,0.179843,15.1470,0.660198E-02,1.64299,0.939079E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.163887E-01,1.15481,-10.3493,1.31899,-3.53671,2.28222,1.04951,2.28222,-0.802193E-01,2.28222,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,1,2,0,0,2,2,0,0,18000,0,0,0,0,0,0,93,0.191443,0.120542,0.477008E-01,0.218976,2.00377,0.119413,-0.999387E-02,0.304917E-01,-0.233063E-02,14.9646,767.723,0.750899E-03,0.682712E-02,-0.421311E-02,0.796847E-03,15.4933,424.744,21.7905,16.4344,91.9917,91.7902,92.1932,-0.403075,0.315985E-03,2.00000,15.2498
2020-08-01T033000_AIU-2109.ghg,2020-08-01,04:00,214.1666,0,18000,18000,0.224628E-01,2,-6.12622,2,14.4574,2,-1.04870,2,0.327966,2,0.842579E-02,-0.408132E-03,0.116431E-02,-0.925852E-05,-0.145695E-09,-0.746530E-11,14.9727,425.201,434.672,0.100000,1,767.188,21.7869,22.2722,0.100000,1,297.925,295.877,87084.0,1.01704,1017.54,0.284432E-01,0.212522E-01,0.138030E-01,1884.67,2752.77,0.135717E-01,68.4644,868.102,289.725,0.314456,-2.11544,-0.243085,2.15245,0.259744E-13,-0.973073E-14,2.15245,3.72154,81.5993,278.455,-6.48448,-9999,0.148615,0.170456,42.4345,0.235658E-02,-0.423744,0.398329E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.194388E-01,1.15556,-4.33262,1.30706,6.08211,2.37703,-0.441182,2.37703,0.137973,2.37703,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,10,7,0,7,3,0,0,0,18000,0,0,0,0,0,0,93,0.178039,0.119640,0.432321E-01,0.113547,1.53752,0.137943,-0.418661E-02,-0.128262E-01,0.401121E-02,14.9748,767.290,0.753312E-03,0.683092E-02,-0.421284E-02,0.795671E-03,15.4950,425.203,21.7868,16.4277,92.0062,91.8080,92.2045,-0.396509,0.315244E-03,2.00000,15.2481
2020-08-01T040000_AIU-2109.ghg,2020-08-01,04:30,214.1874,0,18000,18000,-0.489248E-01,2,-65.9183,2,1.99511,2,12.6917,2,0.452632E-01,2,0.527009E-02,-0.655662E-01,-0.333854E-02,-0.148751E-02,0.185761E-09,0.929101E-11,14.9225,423.886,433.068,-0.100000,0,746.363,21.2010,21.6603,0.100000,1,297.962,295.969,87082.8,1.01693,1017.21,0.284471E-01,0.293305E-02,0.134299E-01,1834.30,2768.24,0.132063E-01,66.2624,933.939,289.300,0.497560,-2.65200,-0.297541,2.71463,-0.670546E-14,0.124484E-13,2.71463,4.70055,81.0461,280.626,-6.29264,-9999,0.219340,0.496429,12.6772,0.788817E-02,-33.0400,0.290526,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.419494E-01,1.16628,-50.6742,1.30833,0.802095,2.48737,5.10247,2.48737,0.181972E-01,2.48737,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,15,9,2,8,11,3,0,0,18000,0,0,0,0,0,0,93,0.598452,0.277479,0.116927,0.148346,2.54562,0.872691E-01,-0.489874E-01,0.148274,0.528798E-03,14.9246,746.465,0.752979E-03,0.683412E-02,-0.421521E-02,0.797085E-03,15.5200,423.888,21.2010,16.0004,92.1151,91.9349,92.2954,-0.360510,0.315727E-03,2.00000,15.2473
2020-08-01T043000_AIU-2109.ghg,2020-08-01,05:00,214.2083,0,18000,18000,0.367644E-01,2,-55.8005,2,-93.2077,2,9.91655,2,-2.11470,2,0.237499E-02,0.463923E-01,-0.232312E-02,0.105255E-02,-0.987257E-11,-0.504529E-12,14.8895,422.971,432.316,0.100000,1,760.916,21.6156,22.0931,0.100000,1,298.043,296.010,87114.5,1.01700,1017.44,0.284445E-01,-0.137032,0.136938E-01,1870.60,2775.09,0.134648E-01,67.4069,904.488,289.608,0.464367,-1.71502,-0.230487,1.79167,-0.161449E-13,-0.663054E-15,1.79167,4.33202,73.5177,285.150,-7.39124,-9999,0.190131,0.443174,9.75751,0.102485E-01,0.598668,0.283631,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.317145E-01,1.15923,-45.0935,1.32001,-39.7158,2.34687,4.22545,2.34687,-0.901073,2.34687,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,5,4,0,0,13,0,0,0,18000,0,0,0,0,0,0,93,0.602219,0.183614,0.100514,0.237655,2.99716,0.134295,-0.435794E-01,0.122828,-0.261930E-01,14.8916,761.019,0.751717E-03,0.683836E-02,-0.421997E-02,0.794879E-03,15.5150,422.973,21.6155,16.3100,92.0684,91.8849,92.2518,-0.366971,0.316076E-03,2.00000,15.2499
2020-08-01T050000_AIU-2109.ghg,2020-08-01,05:30,214.2291,0,18000,18000,-0.567671E-01,2,-39.3331,2,41.7751,2,6.92869,2,0.947579,2,-0.134561E-01,-0.363274E-01,0.141908E-02,-0.824009E-03,-0.187813E-09,-0.944159E-11,14.9173,423.530,432.744,0.100000,1,749.908,21.2913,21.7545,0.100000,1,297.777,295.776,87116.3,1.01795,1017.26,0.284185E-01,0.614031E-01,0.135007E-01,1842.77,2736.08,0.132626E-01,67.3507,893.312,289.372,0.430774,-2.25031,-0.250124,2.30478,0.706800E-14,-0.125903E-13,2.30478,4.37316,79.5813,280.837,-6.23025,-9999,0.236148,0.345507,26.5213,0.377055E-02,-0.941546,0.160848,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.490104E-01,1.15826,-29.1910,1.30725,17.3376,2.40951,2.87556,2.40951,0.393266,2.40951,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,9,1,0,2,8,0,0,0,18000,0,0,0,0,0,0,93,0.368429,0.205067,0.117519,0.181622,2.32844,0.389789E-01,-0.281898E-01,0.834851E-01,0.114176E-01,14.9194,750.011,0.750173E-03,0.684046E-02,-0.422557E-02,0.793859E-03,15.5100,423.531,21.2914,16.0744,92.1039,91.9210,92.2869,-0.365848,0.314953E-03,2.00000,15.2493
